kigyo_no,name,x,y,w,h
111,ニトロプラス/ニトロプラス キラル,15,0,3,1
121,NBCユニバーサル・エンターテイメントジャパン,20,0,3,1
131,ｉｎゼリー　10秒チャージ隊,25,0,2,1
132,ボートレース多摩川,27,0,1,1
141,セガ,29,3,1,3
151,ブロッコリー,20,11,3,1
161,dアニメストア（NTTドコモ）,13,11,1,1
162,阿佐ヶ谷アニメストリート有志の会,12,11,1,1
163,アース・スター エンターテイメント,11,11,1,1
211,ユーフォーテーブル,5,3,3,1
212,モンスター娘のいる日常／徳間書店,8,3,1,1
213,一二三書房,8,4,1,1
214,創芸社,7,4,1,1
215,シャフト,5,4,2,1
221,講談社,10,3,2,1
222,フィギュアメーカーGift,12,3,2,1
223,まんがタイムきららプラス,11,4,3,1
224,STOP!違法ダウンロードの逆襲,10,4,1,1
231,ブシロード,15,3,3,1
232,劇場版「蒼き鋼のアルペジオ－アルス・ノヴァ－Cadenza」,18,3,1,1
233,カンロ,18,4,1,1
234,アニたまSHOP/ラジオ関西,17,4,1,1
235,セカンドショット,16,4,1,1
236,弱虫ペダル/実は私は/秋田書店,15,4,1,1
251,1st PLACE Official Shop -HACHIMAKI-,25,3,1,1
252,中外鉱業,26,3,1,1
253,earth music&ecology Japan Label,27,3,1,1
254,MIKASA,27,4,1,1
255,RED,26,4,1,1
256,夢王国と眠れる１００人の王子様,25,4,1,1
311,小学館,5,7,2,1
312,印刷会社のポプルス　コミケ支店,7,7,1,1
313,少年画報社,8,7,1,1
314,オーバーラップ,8,8,1,1
315,ぼのSHOP ざわ支店,7,8,1,1
316,ワーナー,5,8,2,1
321,YTE,10,7,1,1
322,Lerche,11,7,1,1
323,スパイク・チュンソフト,12,7,2,1
324,SILVER LINK.,13,8,1,1
325,松竹,12,8,1,1
326,株式会社　東北新社,11,8,1,1
327,「それが声優！」,10,8,1,1
331,unity-chan!,15,7,2,1
332,インターネットラジオステーション<音泉>&音mart,17,7,3,1
333,ぽにきゃん,18,8,2,1
334,Kaikai Kiki,17,8,1,1
335,サンリオ　SHOW BY ROCK!!,15,8,2,1
341,アニ☆マルシェ有明出張所：ＦＷ＆マリン＆ムービック,21,7,3,2
351,グッドスマイルカンパニー,25,7,1,1
352,Canaria,26,7,1,1
353,D3Pオトメ部,27,7,1,1
354,一迅社,26,8,2,1
355,ノイタミナショップ,25,8,1,1
411,らしんばん,8,25,1,1
412,メロンブックス,8,26,1,2
421,Tokyo 7th シスターズ,7,35,2,1
422,消滅都市／Wright Flyer Studios,6,35,1,1
423,ハッカドール×モバゲー,3,35,3,1
424,アニメユニバーシティコープ,0,35,3,1
431,TOYPLA,0,32,1,2
441,二次元コスパ,0,15,1,2
442,アクシア,0,14,1,1
451,NANOHA × DOG DAYS,0,8,1,3
511,GIGA STATION,2,33,1,1
512,とらのあな／ツクルノモリ,2,31,1,2
513,Russell,3,31,1,2
514,Lump of Sugar,3,33,1,1
521,フロントウイング,2,27,1,2
522,あかべぇそふとつぅと愉快な仲間たち,2,25,1,2
523,KAI/でぼの巣製作所・Studio e.go!,3,25,1,1
524,PoRO/魔人/Grand Cru,3,26,1,1
525,LiLiTH,3,27,1,1
526,エウシュリー,3,28,1,1
531,onomatope*＆egトップス,2,22,1,1
532,Princess Sugar,2,21,1,1
533,Views/CranCrown,2,19,1,2
534,ネクストン＠BaseSon,3,19,1,1
535,カーニバル,3,20,1,1
536,Clochette＆まどそふと,3,21,1,1
537,NanaWind,3,22,1,1
541,GooGooDept.,2,15,1,2
542,バンダイファッションネット,2,14,1,1
543,超銀河船団/にじよめ/DLsite.com,3,14,1,1
544,GEE!STORE,3,15,1,2
551,オーガスト/ARIA,2,8,1,4
552,ぱれっと,3,8,1,3
553,CUFFS・Sphere・CUBE・MintCUBE/HULOTTE,3,11,1,1
561,KADOKAWA,0,0,3,2
611,山佐株式会社,5,32,1,2
612,まじかるすいーとプリズム・ナナ,5,31,2,1
613,NET SLOT LIVE!! ～第6回全日本パチスロ選手権大会～,6,32,1,2
621,THEキャラ,5,27,1,2
622,5pb.,5,26,1,1
623,アクアマリン,5,25,1,1
624,エムズファクトリー,6,25,1,1
625,(株)ティー・ゾーン,6,26,1,1
626,ゲファルサ,6,27,1,1
627,アールエスケイ　×　たけやま商店,6,28,1,1
631,かぴばらしょっぷ,5,22,1,1
632,〔痛傘〕シーズナルプランツ,5,21,1,1
633,AKIBA-HOBBY/(株)イザナギ,5,20,1,1
634,HOBBY STOCK,5,19,1,1
635,pixiv,6,19,1,1
636,NOVELiDOL/Discover21,6,20,1,1
637,ステッドラー日本,6,21,1,1
638,カミカゼスタイル,6,22,1,1
641,日本ファルコム,5,16,1,1
642,工画堂スタジオ,5,15,1,1
643,アージュ,5,14,1,1
644,アークシステムワークス,6,14,1,1
645,サイバーコネクトツー,6,15,1,1
646,ATLUS,6,16,1,1
911,株式会社シーエージェント,28,11,1,1
912,リサイクルテック・ジャパン(株),27,11,1,1
913,ゴマブックス株式会社,26,11,1,1
914,楽天アプリ市場 ＠コミックマーケット８８,25,11,1,1
915,ルミネエスト特別企画テッド来場キャンペーンブース,24,11,1,1
921,ふわふわ時間（タイム）,8,13,1,1
922,ウォーターオリオン商店～コミケスペシャル,8,14,1,1
923,ki-no,8,15,1,1
924,アニメスタイル,8,16,1,1
931,ノワ,8,19,1,1
932,すのこタン。,8,20,1,1
933,アトリエ・マギ,8,21,1,1
934,G.L.Works＆同人ショップにゃんごろべりー,8,22,1,1
935,匠枕,8,23,1,1
